Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Trainee Professional Truck Driver – Mineral Oil Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,MF Mineralöl-Logistik GmbH,Direct Employer,2026-06-24,Full-time,,"Apprenticeship role focused on operating modern tanker vehicles to deliver fuel to petrol stations, managing equipment independently, and completing administrative paperwork. Work is carried out in compliance with legal and quality management requirements.",Completed schooling; Class B driving licence at start of apprenticeship; interest in trucks and vehicle technology; willingness to work weekends; determination and ambition.,Full support throughout the apprenticeship with guidance from experienced colleagues; all resources needed for a successful qualification are provided.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Berufskraftfahrer-m-w-d-Mineraloeltransport-Werneuchen-MF-Mineraloel-Logistik-GmbH--14126798-inline.html,Werneuchen,,job-34,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Slea-Tec GmbH,Direct Employer,2026-06-24,Full-time,,"Coordinates routes with dispatch, conducts pre-drive vehicle checks, and operates modern trucks (e.g. MAN 32t / 4-axle) delivering to construction sites, depots, and waste disposal facilities. Ensures safe load securing and clean working practices.",Class CE licence with key number 95; valid driver card; experience in construction site traffic; knowledge of container swap procedures or grab operations advantageous; German language skills at least B1 level; reliable and punctual.,Above-tariff pay and special bonuses; permanent contract; modern well-maintained fleet; further training opportunities; occupational health management; respectful team environment in a family-run business.,On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-m-w-d-uebertariflicher-Lohn-und-Sonderleistungen-Berlin-Slea-Tec-GmbH--14129278-inline.html,Berlin,,job-35,LOGISTICS
Truck Driver for Vehicle Recovery and Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Autoservice Müller GmbH & Co. KG,Direct Employer,2026-06-24,Part-time,,"Recovers and tows vehicles up to 7.5t, conducts transport runs, provides roadside assistance for technical defects where possible, and carries out general site maintenance duties at a Ford dealership.",Class C/CE driving licence; safe and anticipatory driving style; customer orientation; reliability and resilience; solid general technical understanding; willingness to work shifts and weekends.,Full-time or part-time position available; opportunity for professional development; attractive remuneration; staff events and employee discounts.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-zum-Bergen-Abschleppen-und-Transportfahrten-im-Ford-Autohaus-Mueller-Erkner-Autoservice-Mueller-GmbH-Co-KG--14130055-inline.html,Erkner,,job-36,LOGISTICS
Digital Transformation Specialist in Care (Vivendi),Other/Non-Logistics (9999),9999,999,99,Other/Non-Logistics,Berlin,Caritas Altenhilfe gGmbH,Direct Employer,2026-06-24,Full-time,,"Supports users of the Vivendi care management software (particularly the PD module) and the Voize system through training, helpdesk support, and error analysis, while contributing to the digitisation and standardisation of workflows in elderly care facilities.","Completed vocational training in nursing/healthcare, administration, or IT; relevant experience with Vivendi PD; high IT affinity; proficiency in Excel and Word; experience delivering user training and helpdesk support.","Tariff-based salary of €3,700–€4,770 gross/month (full-time) depending on experience level, plus holiday and Christmas bonuses and child allowances; up to 31 days annual leave plus 24 and 31 December off.",Remote,https://www.stepstone.de/stellenangebote--Mitarbeiterin-digitale-Transformation-in-der-Pflege-Vivendi-m-w-d-fuer-Traeger-von-Caritas-Senioreneinrichtungen-Berlin-Caritas-Altenhilfe-gGmbH--14125723-inline.html,Berlin,,job-37,LOGISTICS
Delivery Driver Class C Licence,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Meisterbäckerei Steinecke GmbH & Co. KG,Direct Employer,2026-06-24,Full-time,,"Transports and delivers goods punctually to customers, handles loading and unloading in compliance with safety regulations, maintains cargo securing and vehicle condition, follows tour schedules, and documents deliveries and accompanying paperwork.","Class C driving licence; BKrFQG qualification; limited prior driving experience acceptable as on-the-job training is provided; reliability, stamina, and a positive attitude.",Secure employment with fair pay; flexible working time models for work-life balance; current hourly rate of €16.,On-site,https://www.stepstone.de/stellenangebote--Auslieferungsfahrer-m-w-d-Fuehrerschein-Klasse-C-in-Berlin-Auslieferungsfahrer-in-nicht-Verkaufsfahrer-in-Berlin-Meisterbaeckerei-Steinecke-GmbH-Co-KG--14189866-inline.html,Berlin,,job-38,LOGISTICS
Application Management Specialist Vivendi,Other/Non-Logistics (9999),9999,999,99,Other/Non-Logistics,Berlin,Caritas Altenhilfe gGmbH,Direct Employer,2026-06-24,Full-time,,"Administers the Vivendi NG and PEP care management software including user management, updates, helpdesk, and error analysis, while supporting the further development of the software and training staff across Caritas elderly care facilities.","Completed commercial training in office communication, or qualification as IT system administrator, IT systems merchant, or IT specialist; relevant experience in Vivendi NG and PEP administration and configuration; proficiency in Excel and Word; independent and conscientious working style.","Tariff-based salary of €3,700–€4,770 gross/month (full-time) depending on experience level, plus holiday and Christmas bonuses and child allowances; up to 31 days annual leave plus 24 and 31 December off.",Remote,https://www.stepstone.de/stellenangebote--Mitarbeiterin-Applikationsmanagement-Vivendi-m-w-d-fuer-Traeger-von-Caritas-Senioreneinrichtungen-Berlin-Caritas-Altenhilfe-gGmbH--14125724-inline.html,Berlin,,job-39,LOGISTICS
Short-Haul Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Funke Baustoffe GmbH,Direct Employer,2026-06-24,Full-time,,"Delivers goods to regional customers using a crane truck or tipper, and provides warehouse support when no delivery runs are scheduled.",Class C/CE driving licence; professional driver qualification (BKF); forklift licence desirable; knowledge of cargo securing and traffic regulations; friendly and team-oriented manner.,"37.5-hour working week Monday to Friday with shift patterns between 07:00 and 18:00; 28 days annual leave; family-oriented working atmosphere; occasional Saturday warehouse work (one to two times per month, 08:00–13:00).",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-im-Nahverkehr-m-w-d-Falkensee-Funke-Baustoffe-GmbH--14131482-inline.html,Falkensee,,job-40,LOGISTICS
Truck Driver with Order Picking,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,METRO Deutschland GmbH,Direct Employer,2026-06-24,Full-time,,"Responsible for picking and packing food orders, preparing goods for transport, and conducting regional daily delivery routes with 7–9 stops. Includes loading and unloading the delivery vehicle.",Class C or CE driving licence with valid driver card; customer-oriented and friendly manner; reliability and punctuality.,"Collective agreement pay conditions, attractive salary package, 30 days holiday, holiday and Christmas bonus, permanent contract, company pension with employer contribution, monthly meal allowance.",On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-mit-Kommissioniertaetigkeit-m-w-d-Schoenefeld-METRO-Deutschland-GmbH--14127366-inline.html,Schönefeld,,job-41,LOGISTICS
Truck Driver for Hospital Supply,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Billhardt Transport und Logistik GmbH,Direct Employer,2026-06-24,Full-time,,"Transports supply materials to hospitals, including loading and unloading, scanning goods, and processing route documentation. Fixed routes Monday to Friday with fixed customers and working hours.","Driving licence at least Class C for 12-tonne vehicle; punctuality, flexibility, resilience, and reliability; friendly and confident customer-facing manner; responsible and team-oriented work style; basic knowledge of driver assistance systems and regional transport.","Fixed route Mon–Fri, fixed customers and working hours, delivery of roll-cage trolleys, fair and punctual pay, permanent contract, night shift supplements, travel allowance, work clothing, bonuses, good team cohesion, Christmas bonus.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-fuer-Krankenhausversorgung-Berlin-Billhardt-Transport-und-Logistik-GmbH--13679755-inline.html,Berlin,,job-42,LOGISTICS
Truck Driver C/CE for Aerial Work Platform Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,b + t sky-lift zeilinga gmbh,Direct Employer,2026-06-24,Full-time,,"Transports and operates aerial work platforms and mini cranes, and provides customer instruction on the correct use of this equipment. Tasks are carried out both independently and in collaboration with colleagues.","Completed vocational training as a professional driver or equivalent, with experience in transport; Class C/CE licence and driver card; responsible and independent working style; friendly customer manner; interest in specialist technical equipment.","Permanent employment, attractive remuneration including holiday pay and year-end bonus, additional leave beyond statutory entitlement, intensive onboarding, daily home-based regional assignments, family-oriented work environment.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-C-CE-m-w-d-Berlin-Berlin-b-t-sky-lift-zeilinga-gmbh--13944564-inline.html,Berlin,,job-43,LOGISTICS
Truck Driver C/CE Local Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,DACHSER SE,Recruitment Agency,2026-06-24,Full-time,,"Conducts delivery routes within a flexible operating area for the company and its service partners under a temporary staffing arrangement, including loading and unloading vehicles and processing freight documents. Must comply with legal requirements including load securing and IFS/ISO standards.","Completed training as a professional driver with work experience; valid Class C/CE licence with key code 95 and ideally a forklift licence; solid knowledge of load securing, transport-safe loading, and transport documentation; good German language skills; reliability, flexibility, and service orientation.","Modern working environment, flexible working hours with flexitime and time account, flexible benefits package (DACHSER Benefits), sustainably growing family-run company.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-C-CE-im-Nahverkehr-Schoenefeld-Stavenhagen-DACHSER-SE--14127391-inline.html,Schönefeld,,job-44,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,SKYAUTOTRANS e.K.,Direct Employer,2026-06-24,Full-time,,"Responsible for the safe transport of vehicles or goods in local and long-distance traffic, including loading, unloading, and load securing in accordance with legal requirements. Duties also include vehicle maintenance checks and accurate documentation of routes and transport papers.",Class C/CE driving licence with valid driver card and qualification key code 95; experience in commercial goods transport advantageous; independent and responsible working approach; friendly manner and reliability.,"Secure long-term position, fair and punctual pay plus expenses, modern and well-equipped vehicles, collegial team and flat hierarchies.",On-site,https://www.stepstone.de/stellenangebote--Stellenanzeige-Berufskraftfahrer-m-w-d-gesucht-Fredersdorf-Vogelsdorf-SKYAUTOTRANS-e-K--13679738-inline.html,Fredersdorf-Vogelsdorf,,job-45,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Stoppel & Barros Berlin GmbH,Direct Employer,2026-06-24,Full-time,,Transports equipment and assembly materials to job sites and assists with dismantling and reassembly on location. Also handles special transports including crane and lifting operations as well as art and museum transports.,"Class CE driving licence, ideally with key code 95; independent, flexible, and reliable working style; careful handling of equipment; willingness to learn and team spirit; completed training and/or relevant industry experience advantageous.",Not specified.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-m-w-d-Berlin-Stoppel-Barros-Berlin-GmbH--13942785-inline.html,Berlin,,job-46,LOGISTICS
