Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Medical Assistant for Pediatrics,Medical Assistants (3256),3256,325,32,Medical Assistants,Brandenburg,Medizinisches Dienstleistungszentrum Havelland GmbH,Outpatient & Ambulatory Care,2026-06-16,Part-time,,"Assisting in a pediatric practice with patient reception, vaccinations, screenings, and laboratory tests.","Completed training as a Medical Assistant (MFA), ideally with pediatric experience.","Permanent contract, annual special payment, fitness offers, and continuing education.",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-MFA-w-m-d-Praxis-fuer-Kinder-und-Jugendmedizin-Falkensee-Medizinisches-Dienstleistungszentrum-Havelland-GmbH--13837715-inline.html,HEALTHCARE,Falkensee,2026-06-19,,,,,i Wundversorgung und kleinen chirurgischen Eingriffen Ihr Profil Basis ist eine abgeschlossene Ausbildung zum:zur Medizinischen Fachangestellt/in und idealerweise Berufserfahrung im Ber | ssistenz bei Wundversorgung und kleinen chirurgischen Eingriffen Basis ist eine abgeschlossene Ausbildung zum:zur Medizinischen Fachangestellt/in und idealerweise Berufserfahrung im Ber,,Medical & Dental Practices,https://www.stepstone.de/cmp/de/medizinisches-dienstleistungszentrum-havelland-gmbh-205238/jobs,job-28,27
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,meinestadt.de,Outpatient & Ambulatory Care,2026-06-16,Part-time,,"General chairside assistance in dental medicine, treatment preparation, and patient care.",Completed Dental Assistant (ZFA) training and very good German language skills.,"International team, paid training, access to a free learning platform, and clear responsibilities.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-m-w-d-Berlin-Potsdam-meinestadt-de--13979173-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,r Behandlungsabläufe Enge Zusammenarbeit mit dem gesamten Praxisteam Ihr Profil Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte (ZFA) Berufserfahrung in der allgemeinen Z | • Enge Zusammenarbeit mit dem gesamten Praxisteam • Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte (ZFA),,Medical & Dental Practices,https://www.stepstone.de/cmp/de/meinestadtde-218724/jobs,job-29,28
Intensive Care Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Auguste-Viktoria-Klinikum,Hospitals & Acute Care,2026-06-16,Part-time,,"Providing high-level care for intensive care patients, participating in diagnostics and digital documentation.","Completed nursing degree or equivalent, ideally with specialized training in intensive care and anesthesia.","Attractive salary per TVöD, company pension, and structured onboarding.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-oder-Fachkrankenpflegerin-Intensivpflege-Berlin-Schoeneberg-Vivantes-Auguste-Viktoria-Klinikum--14158181-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"bei Nachweis der Fachweiterbildung für Intensivpflege und Anästhesie - je nach Qualifikation Einsatzort: Vivantes Auguste-Viktoria-Klinikum Bereich: Klinik für Innere Mediz | stützen Dokumentation in digitaler Patientenakte Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | • Dokumentation in digitaler Patientenakte • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-auguste-viktoria-klinikum-98600/jobs,job-30,29
Dental Assistant with Growth Potential,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-16,Part-time,,Full patient support and dental assistance with specific focus on high-quality X-rays and digital scans.,"Completed ZFA training, preferably with experience in surgical procedures and strong IT skills.","Modern workplace, flexible hours, career development paths, and corporate benefits.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-mit-Entwicklungsmoeglichkeit-Berlin-Dental21-Velbert--14087720-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,ativ hochwertiger Röntgenaufnahmen und digitaler Scans für die beste Diagnostik Qualifikation: Erfolgreich abgeschlossene Ausbildung zur Zahnmedizinische Fachangestellte - Z | tiger Röntgenaufnahmen und digitaler Scans für die beste Diagnostik Erfolgreich abgeschlossene Ausbildung zur Zahnmedizinische Fachangestellte - ZFA (m/w/d) Idealerweise erste Berufserf,,Medical & Dental Practices,,job-31,30
Head of Operating Room Services,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Klinik Schöneberg GmbH,Hospitals & Acute Care,2026-06-16,Part-time,,"Management of OR operations, including scheduling, material management, hygiene compliance, and KPI evaluation.",Qualified Operating Room Nurse (OTA/GKP) with additional management certification and several years of OR experience.,"Positive work atmosphere, highly motivated team, and support for new ideas.",On-site,https://www.stepstone.de/stellenangebote--Leitung-Operationsdienst-Lead-Nurse-m-w-d-Berlin-Klinik-Schoeneberg-GmbH--14087514-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,z (OTA) oder Gesundheits- und Krankenpfleger (m/w/d) mit OP-Weiterbildung Zusatzqualifikation in Leitung/Management Mehrjährige Berufserfahrung im OP-Bereich Kenntnisse in O | • Zusatzqualifikation in Leitung/Management,,Medical & Dental Practices,,job-32,31
Ambulance Billing Manager,Medical Records and Health Information Technicians (3252),3252,325,32,Medical Records and Health Information Technicians,Berlin,Deutsches Herzzentrum der Charité (DHZC),Hospitals & Acute Care,2026-06-16,Full-time,,"Management of billing for outpatient and inpatient private services, digital record maintenance, and patient inquiries.",Trained Medical Assistant (MFA) or Medical-Technical Assistant (MTA) with several years of experience in clinic administration.,"Professional interdisciplinary team, high level of responsibility, and employee discounts.",On-site,https://www.stepstone.de/stellenangebote--Ambulanzmanagerin-Ambulanzmanager-d-w-m-Kardiologische-Privatambulanz-Berlin-Deutsches-Herzzentrum-der-Charite-DHZC--14156995-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,rganisation der Privatsprechstunde als Urlaubs- und Krankheitsvertretung Profil Abgeschlossene Ausbildung als Medizinische Fachangestellte bzw | nteils von Frauen in Führungs­positionen angestrebt und dies bei gleichwertiger Qualifikation im Rahmen der rechtlichen Möglichkeiten berücksichtigt | Schwerbehinderte Bewerberinnen und Bewerber werden bei gleicher Qualifikation bevorzugt,,Hospitals & Acute Care,https://www.stepstone.de/cmp/de/deutsches-herzzentrum-der-charit%c3%a9-dhzc-34144/jobs,job-33,32
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-16,Part-time,,General nursing and medical treatment for residents in a modern nursing facility.,"Qualified Geriatric, General, or Healthcare Nurse; open to beginners or returnees with good German skills.","Salary up to 4,550 Euro, permanent contract, and digital documentation.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Pankow-pluss-Personalmanagement-GmbH--13667377-inline.html,HEALTHCARE,Berlin (Pankow),2026-06-19,,,,,"550 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 550 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-34,33
Healthcare and Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Not specified,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-16,Part-time,,Performing medical treatments and nursing care for residents in a long-term care facility.,Vocational qualification as a nurse or geriatric nurse with a passion for working with the elderly.,"Salary up to 4,600 Euro, company pension, and subsidized transit tickets.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Krankenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Bergholz-Rehbruecke-pluss-Personalmanagement-GmbH--13667387-inline.html,HEALTHCARE,Bergholz-Rehbrücke,2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-35,34
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-16,Part-time,,"Comprehensive patient support and digital assistance in dental treatments, including instrument processing.",Completed training as a Dental Assistant (ZFA); mandatory requirement.,"Flexible full or part-time options, annual salary reviews, and no weekend work.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-fuer-verschiedene-Standorte-in-Duesseldorf-m-w-d-Berlin-Dental21-Velbert--14090427-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,derne Technik und Teamarbeit großgeschrieben werden? Dann komm zu Dent tal21! : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei | u bist verantwortlich für die Aufbereitung der Instrumente und die Einhaltung • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich,,Medical & Dental Practices,,job-36,35
Geriatric Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-16,Part-time,,"Managing residential care, performing treatments, and cooperating with doctors and therapists in a care home.",Professional qualification in geriatric or general nursing and willingness to work shifts.,"Monthly gross salary up to 4,550 Euro, permanent contract, and referral bonuses.",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Pankow-pluss-Personalmanagement-GmbH--13667388-inline.html,HEALTHCARE,Berlin (Pankow),2026-06-19,,,,,"550 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 550 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-37,36
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-16,Part-time,,Performing specialized medical nursing tasks and quality assurance in a modern residential facility.,Certified Nurse or Geriatric Nurse; professional experience is an advantage but not mandatory.,"Competitive salary up to 4,600 Euro, digital documentation, and shift flexibility.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Biesdorf-pluss-Personalmanagement-GmbH--13667380-inline.html,HEALTHCARE,Berlin (Biesdorf),2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-38,37
Healthcare and Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-16,Part-time,,Leading care activities and executing medical prescriptions in a long-term care setting.,State-certified nursing qualification and strong communication skills in German.,"Attractive salary package, permanent employment, and extensive employee benefits.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Krankenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Biesdorf-pluss-Personalmanagement-GmbH--13667382-inline.html,HEALTHCARE,Berlin (Biesdorf),2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-39,38
Registered Nurse for Home Care,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Medi Serv Hauskrankenpflege GmbH,Outpatient & Ambulatory Care,2026-06-16,Full-time,,Delivering basic and medical nursing care in a home environment and coordinating with relatives.,Nursing qualification required; driver's license support available if only bicycle transport is currently possible.,"Family-friendly workplace, flexible shift models, and support for internal/external training.",On-site,https://www.stepstone.de/stellenangebote--Exam-Kranken-bzw-Altenpflegerinnen-m-w-d-Berlin-Medi-Serv-Hauskrankenpflege-GmbH--14156317-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,,job-40,39
"Altenpfleger (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Lichterfelde)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.500 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Lichterfelde-pluss-Personalmanagement-GmbH--13667395-inline.html,HEALTHCARE,Berlin (Lichterfelde),2026-06-19,,,,,"500 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 500 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-41,40
"Pflegefachkraft (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Lichterfelde)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.500 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Lichterfelde-pluss-Personalmanagement-GmbH--13667381-inline.html,HEALTHCARE,Berlin (Lichterfelde),2026-06-19,,,,,"500 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 500 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-42,41
